#Energy      C   F  Total
      22000.0000          1.86428466E+03          5.81395091E+02          4.43183924E+02
      23000.0000          1.94290994E+03          6.05675620E+02          4.61735796E+02
      24000.0000          2.02108301E+03          6.29812060E+02          4.80178363E+02
      25000.0000          2.09880803E+03          6.53806037E+02          4.98512805E+02
      26000.0000          2.17608906E+03          6.77659103E+02          5.16740257E+02
      27000.0000          2.25293004E+03          7.01372749E+02          5.34861809E+02
      28000.0000          2.32933482E+03          7.24948411E+02          5.52878515E+02
      29000.0000          2.40530717E+03          7.48387475E+02          5.70791393E+02
      30000.0000          2.48085075E+03          7.71691282E+02          5.88601432E+02
      31000.0000          2.55596918E+03          7.94861133E+02          6.06309592E+02
      32000.0000          2.63066598E+03          8.17898292E+02          6.23916808E+02
      33000.0000          2.70494463E+03          8.40803988E+02          6.41423992E+02
      34000.0000          2.77880854E+03          8.63579420E+02          6.58832034E+02
      35000.0000          2.85226104E+03          8.86225760E+02          6.76141804E+02
      36000.0000          2.92530545E+03          9.08744150E+02          6.93354153E+02
      37000.0000          2.99794501E+03          9.31135709E+02          7.10469917E+02
      38000.0000          3.07018292E+03          9.53401534E+02          7.27489913E+02
      39000.0000          3.14202233E+03          9.75542698E+02          7.44414945E+02
      40000.0000          3.21346635E+03          9.97560256E+02          7.61245800E+02
      41000.0000          3.28451804E+03          1.01945524E+03          7.77983253E+02
      42000.0000          3.35518044E+03          1.04122867E+03          7.94628068E+02
      43000.0000          3.42545652E+03          1.06288155E+03          8.11180993E+02
      44000.0000          3.49534923E+03          1.08441485E+03          8.27642766E+02
      45000.0000          3.56486150E+03          1.10582955E+03          8.44014116E+02
      46000.0000          3.63399618E+03          1.12712659E+03          8.60295758E+02
      47000.0000          3.70275614E+03          1.14830692E+03          8.76488398E+02
      48000.0000          3.77114418E+03          1.16937145E+03          8.92592733E+02
      49000.0000          3.83916307E+03          1.19032111E+03          9.08609449E+02
      50000.0000          3.90681557E+03          1.21115679E+03          9.24539224E+02
