#Energy      C-K-shell   N-K-shell   Valence  Total
       9400.0000          4.15971253E+03          6.23092463E+03          1.02608003E+02          9.85540194E+01
       9500.0000          4.19447267E+03          6.28085243E+03          1.03544132E+02          9.94496383E+01
       9600.0000          4.22918024E+03          6.33070350E+03          1.04480404E+02          1.00345333E+02
       9700.0000          4.26383601E+03          6.38047903E+03          1.05417361E+02          1.01241605E+02
       9800.0000          4.29844076E+03          6.43018018E+03          1.06353378E+02          1.02136957E+02
       9900.0000          4.33299523E+03          6.47980809E+03          1.07287933E+02          1.03030907E+02
      10000.0000          4.36750014E+03          6.52936388E+03          1.08221139E+02          1.03923560E+02
      11000.0000          4.71110367E+03          7.02376918E+03          1.17495364E+02          1.12795368E+02
      12000.0000          5.05033567E+03          7.51173542E+03          1.26669465E+02          1.21570287E+02
      13000.0000          5.38780635E+03          7.99879369E+03          1.35765433E+02          1.30271632E+02
      14000.0000          5.72065540E+03          8.47813983E+03          1.44779479E+02          1.38892520E+02
      15000.0000          6.05131293E+03          8.95723576E+03          1.53721726E+02          1.47445732E+02
      16000.0000          6.37998171E+03          9.42962517E+03          1.62599386E+02          1.55936330E+02
      17000.0000          6.70589806E+03          9.90009885E+03          1.71419916E+02          1.64372048E+02
      18000.0000          7.02928072E+03          1.03688208E+04          1.80178207E+02          1.72748394E+02
      19000.0000          7.35121975E+03          1.08319239E+04          1.88893913E+02          1.81083038E+02
      20000.0000          7.67094161E+03          1.12937315E+04          1.97546286E+02          1.89357661E+02
      21000.0000          7.98859098E+03          1.17524196E+04          2.06154549E+02          1.97589522E+02
      22000.0000          8.30515330E+03          1.22100745E+04          2.14733653E+02          2.05793556E+02
      23000.0000          8.61902413E+03          1.26630719E+04          2.23265706E+02          2.13951320E+02
      24000.0000          8.93199789E+03          1.31153095E+04          2.31749838E+02          2.22064240E+02
      25000.0000          9.24332313E+03          1.35650556E+04          2.40197460E+02          2.30141844E+02
      26000.0000          9.55308265E+03          1.40124428E+04          2.48609976E+02          2.38185514E+02
      27000.0000          9.86135468E+03          1.44593414E+04          2.57001691E+02          2.46208974E+02
      28000.0000          1.01690085E+04          1.49023361E+04          2.65355240E+02          2.54195842E+02
      29000.0000          1.04744960E+04          1.53450017E+04          2.73673036E+02          2.62148407E+02
      30000.0000          1.07794807E+04          1.57840171E+04          2.81969936E+02          2.70080378E+02
      31000.0000          1.10832031E+04          1.62228336E+04          2.90233695E+02          2.77981054E+02
