#Energy      O-K-shell   Valence  Total
      14000.0000          3.09635846E+07          5.52657750E+08          2.93208352E+07
      15000.0000          3.86983250E+07          6.87476562E+08          3.66360664E+07
      16000.0000          4.75706169E+07          8.43581928E+08          4.50312496E+07
      17000.0000          5.77804018E+07          1.02792846E+09          5.47053833E+07
      18000.0000          6.91927712E+07          1.23001963E+09          6.55077389E+07
      19000.0000          8.24319463E+07          1.46208648E+09          7.80325001E+07
      20000.0000          9.75658244E+07          1.72796066E+09          9.23513890E+07
      21000.0000          1.13756744E+08          2.01827834E+09          1.07687146E+08
      22000.0000          1.32353822E+08          2.35482994E+09          1.25310701E+08
      23000.0000          1.52930749E+08          2.70904517E+09          1.44758838E+08
      24000.0000          1.75477683E+08          3.11530523E+09          1.66120512E+08
      25000.0000          2.01299817E+08          3.54332716E+09          1.90478548E+08
      26000.0000          2.28504888E+08          4.02521244E+09          2.16229864E+08
      27000.0000          2.57417562E+08          4.55648731E+09          2.43652478E+08
      28000.0000          2.90130007E+08          5.12279397E+09          2.74579184E+08
      29000.0000          3.24851397E+08          5.74479225E+09          3.07465132E+08
      30000.0000          3.64013934E+08          6.41024121E+09          3.44453681E+08
      31000.0000          4.04096935E+08          7.13624016E+09          3.82440830E+08
      32000.0000          4.47893124E+08          7.93659483E+09          4.23967006E+08
      33000.0000          4.95295841E+08          8.76376150E+09          4.68800922E+08
      34000.0000          5.46293035E+08          9.63930005E+09          5.16993212E+08
      35000.0000          6.01082106E+08          1.06230037E+10          5.68892429E+08
      36000.0000          6.60668466E+08          1.16852481E+10          6.25314038E+08
      37000.0000          7.20755892E+08          1.27375760E+10          6.82156082E+08
      38000.0000          7.86377935E+08          1.38834042E+10          7.44223917E+08
      39000.0000          8.56727625E+08          1.51121468E+10          8.10764321E+08
      40000.0000          9.32435623E+08          1.64206606E+10          8.82332969E+08
      41000.0000          1.00920627E+09          1.78152610E+10          9.55101296E+08
      42000.0000          1.09322780E+09          1.92980013E+10          1.03461696E+09
      43000.0000          1.18243749E+09          2.08810043E+10          1.11906758E+09
      44000.0000          1.27655979E+09          2.24729109E+10          1.20794332E+09
      45000.0000          1.37633172E+09          2.42017664E+10          1.30227269E+09
      46000.0000          1.47439722E+09          2.60344075E+10          1.39537353E+09
      47000.0000          1.58464721E+09          2.78648944E+10          1.49937910E+09
      48000.0000          1.69608342E+09          2.98638202E+10          1.60493298E+09
      49000.0000          1.81790162E+09          3.19637195E+10          1.72007427E+09
      50000.0000          1.94775065E+09          3.41622791E+10          1.84269030E+09
