#Energy      H   O  Total
      11000.0000          2.40317400E+03          5.55550863E+02          4.51236750E+02
      12000.0000          2.61399382E+03          6.03294678E+02          4.90166972E+02
      13000.0000          2.82360538E+03          6.50731103E+02          5.28851438E+02
      14000.0000          3.03201816E+03          6.97866551E+02          5.67294761E+02
      15000.0000          3.23924150E+03          7.44706650E+02          6.05501024E+02
      16000.0000          3.44528463E+03          7.91256427E+02          6.43473902E+02
      17000.0000          3.65015664E+03          8.37520426E+02          6.81216741E+02
      18000.0000          3.85386652E+03          8.83502807E+02          7.18732624E+02
      19000.0000          4.05642316E+03          9.29207413E+02          7.56024422E+02
      20000.0000          4.25783534E+03          9.74637823E+02          7.93094821E+02
      21000.0000          4.45811175E+03          1.01979740E+03          8.29946362E+02
      22000.0000          4.65726098E+03          1.06468931E+03          8.66581453E+02
      23000.0000          4.85529155E+03          1.10931658E+03          9.03002395E+02
      24000.0000          5.05221187E+03          1.15368208E+03          9.39211391E+02
      25000.0000          5.24803028E+03          1.19778855E+03          9.75210561E+02
      26000.0000          5.44275503E+03          1.24163866E+03          1.01100195E+03
      27000.0000          5.63639429E+03          1.28523495E+03          1.04658754E+03
      28000.0000          5.82895615E+03          1.32857988E+03          1.08196925E+03
      29000.0000          6.02044861E+03          1.37167586E+03          1.11714894E+03
      30000.0000          6.21087962E+03          1.41452520E+03          1.15212844E+03
      31000.0000          6.40025703E+03          1.45713017E+03          1.18690951E+03
      32000.0000          6.58858863E+03          1.49949297E+03          1.22149390E+03
      33000.0000          6.77588211E+03          1.54161575E+03          1.25588329E+03
      34000.0000          6.96214513E+03          1.58350062E+03          1.29007935E+03
      35000.0000          7.14738524E+03          1.62514962E+03          1.32408370E+03
      36000.0000          7.33160993E+03          1.66656479E+03          1.35789794E+03
      37000.0000          7.51482664E+03          1.70774808E+03          1.39152364E+03
      38000.0000          7.69704272E+03          1.74870145E+03          1.42496235E+03
      39000.0000          7.87826545E+03          1.78942680E+03          1.45821557E+03
      40000.0000          8.05850205E+03          1.82992600E+03          1.49128480E+03
      41000.0000          8.23775968E+03          1.87020090E+03          1.52417151E+03
      42000.0000          8.41604543E+03          1.91025329E+03          1.55687715E+03
      43000.0000          8.59336632E+03          1.95008497E+03          1.58940314E+03
      44000.0000          8.76972931E+03          1.98969770E+03          1.62175088E+03
      45000.0000          8.94514129E+03          2.02909320E+03          1.65392178E+03
      46000.0000          9.11960911E+03          2.06827319E+03          1.68591718E+03
      47000.0000          9.29313952E+03          2.10723933E+03          1.71773845E+03
      48000.0000          9.46573925E+03          2.14599331E+03          1.74938692E+03
      49000.0000          9.63741495E+03          2.18453674E+03          1.78086390E+03
      50000.0000          9.80817319E+03          2.22287125E+03          1.81217070E+03
