#Energy      Al   As  Total
       4200.0000          2.02360651E+02          1.10412318E+02          7.14355485E+01
       4300.0000          2.06739965E+02          1.12256023E+02          7.27526587E+01
       4400.0000          2.11113118E+02          1.14092560E+02          7.40652384E+01
       4500.0000          2.15480236E+02          1.15922110E+02          7.53734061E+01
       4600.0000          2.19841436E+02          1.17744846E+02          7.66772747E+01
       4700.0000          2.24196833E+02          1.19560935E+02          7.79769519E+01
       4800.0000          2.28546533E+02          1.21370534E+02          7.92725401E+01
       4900.0000          2.32890637E+02          1.23173796E+02          8.05641372E+01
       5000.0000          2.37229244E+02          1.24970868E+02          8.18518368E+01
       5100.0000          2.41562445E+02          1.26761888E+02          8.31357283E+01
       5200.0000          2.45890329E+02          1.28546993E+02          8.44158970E+01
       5300.0000          2.50212979E+02          1.30326311E+02          8.56924249E+01
       5400.0000          2.54530475E+02          1.32099967E+02          8.69653904E+01
       5500.0000          2.58842896E+02          1.33868079E+02          8.82348687E+01
       5600.0000          2.63150313E+02          1.35630764E+02          8.95009320E+01
       5700.0000          2.67452799E+02          1.37388132E+02          9.07636495E+01
       5800.0000          2.71750419E+02          1.39140288E+02          9.20230878E+01
       5900.0000          2.76043240E+02          1.40887337E+02          9.32793110E+01
       6000.0000          2.80331323E+02          1.42629376E+02          9.45323805E+01
       6100.0000          2.84614728E+02          1.44366502E+02          9.57823555E+01
       6200.0000          2.88893513E+02          1.46098806E+02          9.70292933E+01
       6300.0000          2.93167732E+02          1.47826377E+02          9.82732487E+01
       6400.0000          2.97437439E+02          1.49549302E+02          9.95142748E+01
       6500.0000          3.01702686E+02          1.51267662E+02          1.00752423E+02
       6600.0000          3.05963522E+02          1.52981538E+02          1.01987742E+02
       6700.0000          3.10219994E+02          1.54691008E+02          1.03220280E+02
       6800.0000          3.14472148E+02          1.56396147E+02          1.04450083E+02
       6900.0000          3.18720029E+02          1.58097026E+02          1.05677195E+02
       7000.0000          3.22963681E+02          1.59793717E+02          1.06901660E+02
       7100.0000          3.27203143E+02          1.61486287E+02          1.08123519E+02
       7200.0000          3.31438457E+02          1.63174802E+02          1.09342812E+02
       7300.0000          3.35669661E+02          1.64859326E+02          1.10559579E+02
       7400.0000          3.39896794E+02          1.66539920E+02          1.11773857E+02
       7500.0000          3.44119890E+02          1.68216645E+02          1.12985683E+02
       7600.0000          3.48338987E+02          1.69889560E+02          1.14195093E+02
       7700.0000          3.52554117E+02          1.71558720E+02          1.15402121E+02
       7800.0000          3.56765314E+02          1.73224180E+02          1.16606800E+02
       7900.0000          3.60972610E+02          1.74885994E+02          1.17809163E+02
       8000.0000          3.65176037E+02          1.76544214E+02          1.19009242E+02
       8100.0000          3.69375625E+02          1.78198889E+02          1.20207066E+02
       8200.0000          3.73571403E+02          1.79850069E+02          1.21402667E+02
       8300.0000          3.77763401E+02          1.81497801E+02          1.22596072E+02
       8400.0000          3.81951645E+02          1.83142132E+02          1.23787310E+02
       8500.0000          3.86136163E+02          1.84783107E+02          1.24976409E+02
       8600.0000          3.90316982E+02          1.86420769E+02          1.26163394E+02
       8700.0000          3.94494127E+02          1.88055161E+02          1.27348292E+02
       8800.0000          3.98667623E+02          1.89686325E+02          1.28531128E+02
       8900.0000          4.02837495E+02          1.91314301E+02          1.29711926E+02
       9000.0000          4.07003766E+02          1.92939129E+02          1.30890711E+02
       9100.0000          4.11166459E+02          1.94560847E+02          1.32067506E+02
       9200.0000          4.15325597E+02          1.96179492E+02          1.33242333E+02
       9300.0000          4.19481203E+02          1.97795101E+02          1.34415215E+02
       9400.0000          4.23633297E+02          1.99407710E+02          1.35586173E+02
       9500.0000          4.27781900E+02          2.01017354E+02          1.36755228E+02
       9600.0000          4.31927033E+02          2.02624066E+02          1.37922402E+02
       9700.0000          4.36068717E+02          2.04227880E+02          1.39087713E+02
       9800.0000          4.40206969E+02          2.05828828E+02          1.40251183E+02
       9900.0000          4.44341811E+02          2.07426941E+02          1.41412828E+02
      10000.0000          4.48473259E+02          2.09022251E+02          1.42572670E+02
      11000.0000          4.89604961E+02          2.24827468E+02          1.54075654E+02
      11870.9990          5.25168201E+02          2.38388446E+02          1.63961681E+02
      11871.0010          5.25168283E+02          2.38388477E+02          1.63961704E+02
      12000.0000          5.30415195E+02          2.40381653E+02          1.65415935E+02
      13000.0000          5.70917325E+02          2.55706560E+02          1.76606686E+02
      14000.0000          6.11122528E+02          2.70820107E+02          1.87658768E+02
      15000.0000          6.51040319E+02          2.85737281E+02          1.98581275E+02
      16000.0000          6.90678931E+02          3.00470777E+02          2.09381926E+02
      17000.0000          7.30045580E+02          3.15031481E+02          2.20067351E+02
      18000.0000          7.69146670E+02          3.29428816E+02          2.30643302E+02
      19000.0000          8.07987944E+02          3.43671019E+02          2.41114817E+02
      20000.0000          8.46574601E+02          3.57765347E+02          2.51486348E+02
      21000.0000          8.84911385E+02          3.71718239E+02          2.61761855E+02
      22000.0000          9.23002659E+02          3.85535451E+02          2.71944885E+02
      23000.0000          9.60852462E+02          3.99222157E+02          2.82038638E+02
      24000.0000          9.98464554E+02          4.12783036E+02          2.92046012E+02
      25000.0000          1.03584245E+03          4.26222339E+02          3.01969650E+02
      26000.0000          1.07298948E+03          4.39543948E+02          3.11811972E+02
      27000.0000          1.10990875E+03          4.52751422E+02          3.21575204E+02
      28000.0000          1.14660323E+03          4.65848040E+02          3.31261402E+02
      29000.0000          1.18307576E+03          4.78836832E+02          3.40872469E+02
      30000.0000          1.21932902E+03          4.91720608E+02          3.50410180E+02
      31000.0000          1.25536560E+03          5.04501985E+02          3.59876188E+02
      32000.0000          1.29118798E+03          5.17183404E+02          3.69272043E+02
      33000.0000          1.32679854E+03          5.29767152E+02          3.78599199E+02
      34000.0000          1.36219959E+03          5.42255374E+02          3.87859026E+02
      35000.0000          1.39739334E+03          5.54650090E+02          3.97052816E+02
      36000.0000          1.43238195E+03          5.66953205E+02          4.06181793E+02
      37000.0000          1.46716752E+03          5.79166522E+02          4.15247116E+02
      38000.0000          1.50175206E+03          5.91291747E+02          4.24249887E+02
      39000.0000          1.53613754E+03          6.03330500E+02          4.33191155E+02
      40000.0000          1.57032590E+03          6.15284324E+02          4.42071921E+02
      41000.0000          1.60431900E+03          6.27154687E+02          4.50893141E+02
      42000.0000          1.63811866E+03          6.38942991E+02          4.59655731E+02
      43000.0000          1.67172668E+03          6.50650577E+02          4.68360567E+02
      44000.0000          1.70514480E+03          6.62278729E+02          4.77008494E+02
      45000.0000          1.73837473E+03          6.73828677E+02          4.85600319E+02
      46000.0000          1.77141814E+03          6.85301604E+02          4.94136824E+02
      47000.0000          1.80427666E+03          6.96698645E+02          5.02618759E+02
      48000.0000          1.83695192E+03          7.08020895E+02          5.11046851E+02
      49000.0000          1.86944549E+03          7.19269408E+02          5.19421799E+02
      50000.0000          1.90175891E+03          7.30445200E+02          5.27744282E+02
