#Energy      Au   C  Total
       6600.0000          7.30215299E+01          2.37868436E+02          5.58703046E+01
       6700.0000          7.35413715E+01          2.41344792E+02          5.63658524E+01
       6800.0000          7.40597943E+01          2.44818791E+02          5.68593507E+01
       6900.0000          7.45767873E+01          2.48290441E+02          5.73508297E+01
       7000.0000          7.50923415E+01          2.51759754E+02          5.78403188E+01
       7100.0000          7.56064499E+01          2.55226736E+02          5.83278469E+01
       7200.0000          7.61191072E+01          2.58691397E+02          5.88134420E+01
       7300.0000          7.66303094E+01          2.62153746E+02          5.92971315E+01
       7400.0000          7.71400542E+01          2.65613790E+02          5.97789420E+01
       7500.0000          7.76483404E+01          2.69071538E+02          6.02588997E+01
       7600.0000          7.81551677E+01          2.72526997E+02          6.07370300E+01
       7700.0000          7.86605372E+01          2.75980176E+02          6.12133579E+01
       7800.0000          7.91644508E+01          2.79431080E+02          6.16879077E+01
       7900.0000          7.96669111E+01          2.82879719E+02          6.21607031E+01
       8000.0000          8.01679216E+01          2.86326098E+02          6.26317673E+01
       8100.0000          8.06674864E+01          2.89770224E+02          6.31011232E+01
       8200.0000          8.11656103E+01          2.93212105E+02          6.35687929E+01
       8300.0000          8.16622986E+01          2.96651746E+02          6.40347981E+01
       8400.0000          8.21575571E+01          3.00089155E+02          6.44991601E+01
       8500.0000          8.26513921E+01          3.03524337E+02          6.49618997E+01
       8600.0000          8.31438102E+01          3.06957298E+02          6.54230372E+01
       8700.0000          8.36348184E+01          3.10388044E+02          6.58825926E+01
       8800.0000          8.41244241E+01          3.13816582E+02          6.63405853E+01
       8900.0000          8.46126349E+01          3.17242917E+02          6.67970344E+01
       9000.0000          8.50994587E+01          3.20667054E+02          6.72519586E+01
       9100.0000          8.55849035E+01          3.24088999E+02          6.77053763E+01
       9200.0000          8.60689777E+01          3.27508758E+02          6.81573053E+01
       9300.0000          8.65516897E+01          3.30926335E+02          6.86077632E+01
       9400.0000          8.70330481E+01          3.34341737E+02          6.90567673E+01
       9500.0000          8.75130617E+01          3.37754967E+02          6.95043344E+01
       9600.0000          8.79917393E+01          3.41166031E+02          6.99504810E+01
       9700.0000          8.84690898E+01          3.44574933E+02          7.03952233E+01
       9800.0000          8.89451222E+01          3.47981680E+02          7.08385773E+01
       9900.0000          8.94198456E+01          3.51386274E+02          7.12805585E+01
      10000.0000          8.98932692E+01          3.54788722E+02          7.17211821E+01
      11000.0000          9.45580273E+01          3.88696072E+02          7.60559172E+01
      11922.9990          9.87569158E+01          4.19805955E+02          7.99493054E+01
      11923.0010          9.87569248E+01          4.19806022E+02          7.99493138E+01
