#Energy      Ca-K-shell   Ca-L1-shell   Ca-L2-shell   Ca-L3-shell   Ca-M1-shell   Ca-M2-shell   Ca-M3-shell   Valence  Total
        348.9990          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          3.29959630E+02          1.77900092E+02          8.89500461E+01          2.13981711E+01          1.50089219E+01
        349.0010          1.00000000E+30          1.00000000E+30          1.00000000E+30          5.76732672E+11          3.29960318E+02          1.77900659E+02          8.89503293E+01          2.13982700E+01          1.50089841E+01
        350.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          8.24913076E+07          3.30304512E+02          1.78183656E+02          8.90918280E+01          2.14476506E+01          1.50400284E+01
        352.9990          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.04145677E+07          3.31344550E+02          1.79034131E+02          8.95170653E+01          2.15930324E+01          1.51318165E+01
        353.0010          1.00000000E+30          1.00000000E+30          1.19271677E+12          1.04083097E+07          3.31345246E+02          1.79034698E+02          8.95173491E+01          2.15931312E+01          1.51318786E+01
        360.0000          1.00000000E+30          1.00000000E+30          9.32593530E+06          2.26032670E+06          3.33810191E+02          1.81024539E+02          9.05122697E+01          2.19326318E+01          1.53461870E+01
        370.0000          1.00000000E+30          1.00000000E+30          2.42114364E+06          8.41641648E+05          3.37416216E+02          1.83878476E+02          9.19392379E+01          2.24183297E+01          1.56526908E+01
        380.0000          1.00000000E+30          1.00000000E+30          1.18918565E+06          4.61714326E+05          3.41110712E+02          1.86743388E+02          9.33716941E+01          2.28994365E+01          1.59569472E+01
        390.0000          1.00000000E+30          1.00000000E+30          7.30483360E+05          2.99383518E+05          3.44883420E+02          1.89617481E+02          9.48087407E+01          2.33787306E+01          1.62602980E+01
        400.0000          1.00000000E+30          1.00000000E+30          5.03948933E+05          2.13337740E+05          3.48725444E+02          1.92499198E+02          9.62495991E+01          2.38588411E+01          1.65639915E+01
        410.0000          1.00000000E+30          1.00000000E+30          3.73494460E+05          1.61564557E+05          3.52629036E+02          1.95387184E+02          9.76935919E+01          2.43346520E+01          1.68655393E+01
        420.0000          1.00000000E+30          1.00000000E+30          2.90641203E+05          1.27695786E+05          3.56587412E+02          1.98280257E+02          9.91401284E+01          2.48113351E+01          1.71674138E+01
        430.0000          1.00000000E+30          1.00000000E+30          2.34349629E+05          1.04177253E+05          3.60594626E+02          2.01067593E+02          1.00533796E+02          2.52863788E+01          1.74659059E+01
        440.0000          1.00000000E+30          1.00000000E+30          1.94141096E+05          8.71010117E+04          3.64645440E+02          2.04002709E+02          1.02001354E+02          2.57573554E+01          1.77655960E+01
        440.9990          1.00000000E+30          1.00000000E+30          1.90761602E+05          8.56551997E+04          3.65052329E+02          2.04333835E+02          1.02166918E+02          2.58050608E+01          1.77966992E+01
        441.0010          1.00000000E+30          2.29633490E+12          1.90753621E+05          8.56523952E+04          3.65053144E+02          2.04334498E+02          1.02167249E+02          2.58051563E+01          1.77967615E+01
        450.0000          1.00000000E+30          1.37447851E+07          1.64296766E+05          7.42606514E+04          3.68735227E+02          2.06930261E+02          1.03465130E+02          2.62292795E+01          1.80653561E+01
        460.0000          1.00000000E+30          4.41640686E+06          1.41460572E+05          6.43329717E+04          3.72859888E+02          2.09850423E+02          1.04925211E+02          2.66997054E+01          1.83640207E+01
