#Energy      Li-K-shell   Cl-K-shell   Cl-L1-shell   Cl-L2-shell   Cl-L3-shell   Valence  Total
        810.0000          2.93268909E+02          1.00000000E+30          4.16589498E+03          2.08653158E+03          1.02209105E+03          2.26249320E+01          2.02812758E+01
        820.0000          2.95612280E+02          1.00000000E+30          4.12448388E+03          2.08123637E+03          1.01969137E+03          2.28481572E+01          2.04693028E+01
        830.0000          2.97951968E+02          1.00000000E+30          4.08563577E+03          2.07652933E+03          1.01757204E+03          2.30709824E+01          2.06569738E+01
        840.0000          3.00288027E+02          1.00000000E+30          4.04918244E+03          2.07237470E+03          1.01571640E+03          2.32934141E+01          2.08442965E+01
        850.0000          3.02620504E+02          1.00000000E+30          4.01496946E+03          2.06874177E+03          1.01410957E+03          2.35154588E+01          2.10312787E+01
        860.0000          3.04949450E+02          1.00000000E+30          3.98285478E+03          2.06559953E+03          1.01273708E+03          2.37345379E+01          2.12158618E+01
        870.0000          3.07274914E+02          1.00000000E+30          3.95270703E+03          2.06292058E+03          1.01158616E+03          2.39558349E+01          2.14021922E+01
        880.0000          3.09326205E+02          1.00000000E+30          3.92440378E+03          2.06067973E+03          1.01064439E+03          2.41767619E+01          2.15868841E+01
        890.0000          3.11646963E+02          1.00000000E+30          3.89783490E+03          2.05885284E+03          1.00990028E+03          2.43973247E+01          2.17725862E+01
        900.0000          3.13964375E+02          1.00000000E+30          3.87289561E+03          2.05741752E+03          1.00934340E+03          2.46175288E+01          2.19579798E+01
