#Energy      Li   Cl  Total
       5100.0000          8.71177437E+02          1.36410232E+02          1.17942607E+02
       5200.0000          8.87899905E+02          1.38750523E+02          1.19998563E+02
       5300.0000          9.04612042E+02          1.41087089E+02          1.22051435E+02
       5400.0000          9.21313874E+02          1.43420000E+02          1.24101279E+02
       5500.0000          9.38005425E+02          1.45749321E+02          1.26148147E+02
       5600.0000          9.54686720E+02          1.48075113E+02          1.28192090E+02
       5700.0000          9.71357781E+02          1.50397439E+02          1.30233156E+02
       5800.0000          9.88018631E+02          1.52716354E+02          1.32271391E+02
       5900.0000          1.00466929E+03          1.55031915E+02          1.34306840E+02
       6000.0000          1.02130979E+03          1.57344174E+02          1.36339545E+02
       6100.0000          1.03794013E+03          1.59653183E+02          1.38369548E+02
       6200.0000          1.05456035E+03          1.61958990E+02          1.40396887E+02
       6300.0000          1.07117046E+03          1.64261642E+02          1.42421602E+02
       6400.0000          1.08777049E+03          1.66561186E+02          1.44443727E+02
       6500.0000          1.10436045E+03          1.68857664E+02          1.46463299E+02
       6600.0000          1.12094035E+03          1.71151119E+02          1.48480351E+02
       6700.0000          1.13751022E+03          1.73441592E+02          1.50494916E+02
       6800.0000          1.15407008E+03          1.75729121E+02          1.52507026E+02
       6900.0000          1.17061994E+03          1.78013745E+02          1.54516710E+02
       7000.0000          1.18715981E+03          1.80295501E+02          1.56523998E+02
       7100.0000          1.20368972E+03          1.82574423E+02          1.58528919E+02
       7200.0000          1.22020968E+03          1.84850545E+02          1.60531499E+02
       7300.0000          1.23671971E+03          1.87123901E+02          1.62531766E+02
       7400.0000          1.25321982E+03          1.89394523E+02          1.64529745E+02
       7500.0000          1.26971003E+03          1.91662442E+02          1.66525462E+02
       7600.0000          1.28619035E+03          1.93927688E+02          1.68518939E+02
       7700.0000          1.30266080E+03          1.96190289E+02          1.70510200E+02
       7800.0000          1.31912139E+03          1.98450275E+02          1.72499269E+02
       7900.0000          1.33557213E+03          2.00707672E+02          1.74486166E+02
       8000.0000          1.35201305E+03          2.02962507E+02          1.76470914E+02
       8100.0000          1.36844414E+03          2.05214806E+02          1.78453533E+02
       8200.0000          1.38486544E+03          2.07464593E+02          1.80434043E+02
       8300.0000          1.40127694E+03          2.09711894E+02          1.82412463E+02
       8400.0000          1.41767867E+03          2.11956731E+02          1.84388813E+02
       8500.0000          1.43407064E+03          2.14199128E+02          1.86363111E+02
       8600.0000          1.45045285E+03          2.16439108E+02          1.88335374E+02
       8700.0000          1.46682533E+03          2.18676690E+02          1.90305621E+02
       8800.0000          1.48318808E+03          2.20911898E+02          1.92273868E+02
       8900.0000          1.49954112E+03          2.23144751E+02          1.94240132E+02
       9000.0000          1.51588445E+03          2.25375270E+02          1.96204428E+02
       9100.0000          1.53221810E+03          2.27603474E+02          1.98166773E+02
       9200.0000          1.54854207E+03          2.29829382E+02          2.00127182E+02
       9300.0000          1.56485638E+03          2.32053013E+02          2.02085670E+02
       9400.0000          1.58116103E+03          2.34274385E+02          2.04042250E+02
       9500.0000          1.59745605E+03          2.36493515E+02          2.05996939E+02
       9600.0000          1.61374143E+03          2.38710421E+02          2.07949748E+02
       9700.0000          1.63001719E+03          2.40925119E+02          2.09900692E+02
       9800.0000          1.64628334E+03          2.43137626E+02          2.11849784E+02
       9900.0000          1.66253990E+03          2.45347958E+02          2.13797036E+02
      10000.0000          1.67878687E+03          2.47556131E+02          2.15742462E+02
      11000.0000          1.84073171E+03          2.69522290E+02          2.35098820E+02
      12000.0000          2.00172938E+03          2.91287379E+02          2.54284450E+02
      13000.0000          2.16178955E+03          3.12862466E+02          2.73308249E+02
      14000.0000          2.32092134E+03          3.34256717E+02          2.92177598E+02
      15000.0000          2.47913343E+03          3.55477861E+02          3.10898730E+02
      16000.0000          2.63643415E+03          3.76532509E+02          3.29476983E+02
      17000.0000          2.79283152E+03          3.97426392E+02          3.47916998E+02
      18000.0000          2.94833336E+03          4.18164538E+02          3.66222851E+02
      19000.0000          3.10294723E+03          4.38751400E+02          3.84398161E+02
      20000.0000          3.25668056E+03          4.59190961E+02          4.02446174E+02
      21000.0000          3.40954058E+03          4.79486814E+02          4.20369821E+02
      22000.0000          3.56153440E+03          4.99642219E+02          4.38171771E+02
      23000.0000          3.71266898E+03          5.19660161E+02          4.55854471E+02
      24000.0000          3.86295118E+03          5.39543384E+02          4.73420176E+02
      25000.0000          4.01238775E+03          5.59294428E+02          4.90870980E+02
      26000.0000          4.16098532E+03          5.78915654E+02          5.08208832E+02
      27000.0000          4.30875045E+03          5.98409268E+02          5.25435557E+02
      28000.0000          4.45568958E+03          6.17777339E+02          5.42552873E+02
      29000.0000          4.60180909E+03          6.37021817E+02          5.59562399E+02
      30000.0000          4.74711526E+03          6.56144543E+02          5.76465669E+02
      31000.0000          4.89161432E+03          6.75147264E+02          5.93264140E+02
      32000.0000          5.03531239E+03          6.94031639E+02          6.09959202E+02
      33000.0000          5.17821553E+03          7.12799252E+02          6.26552181E+02
      34000.0000          5.32032975E+03          7.31451618E+02          6.43044348E+02
      35000.0000          5.46166097E+03          7.49990186E+02          6.59436923E+02
      36000.0000          5.60221506E+03          7.68416349E+02          6.75731080E+02
      37000.0000          5.74199780E+03          7.86731448E+02          6.91927950E+02
      38000.0000          5.88101494E+03          8.04936775E+02          7.08028625E+02
      39000.0000          6.01927215E+03          8.23033576E+02          7.24034161E+02
      40000.0000          6.15677506E+03          8.41023059E+02          7.39945581E+02
      41000.0000          6.29352922E+03          8.58906393E+02          7.55763879E+02
      42000.0000          6.42954013E+03          8.76684709E+02          7.71490016E+02
      43000.0000          6.56481324E+03          8.94359110E+02          7.87124932E+02
      44000.0000          6.69935395E+03          9.11930665E+02          8.02669537E+02
      45000.0000          6.83316759E+03          9.29400414E+02          8.18124722E+02
      46000.0000          6.96625945E+03          9.46769374E+02          8.33491353E+02
      47000.0000          7.09863478E+03          9.64038533E+02          8.48770277E+02
      48000.0000          7.23029875E+03          9.81208857E+02          8.63962322E+02
      49000.0000          7.36125651E+03          9.98281290E+02          8.79068296E+02
      50000.0000          7.49151314E+03          1.01525675E+03          8.94088991E+02
