#Energy      Li   Mn   O  Total
       4700.0000          1.55797775E+03          9.38772762E+01          1.31471814E+02          5.29093367E+01
       4800.0000          1.59045546E+03          9.54514523E+01          1.34139756E+02          5.38787526E+01
       4900.0000          1.62291294E+03          9.70214566E+01          1.36805389E+02          5.48461270E+01
       5000.0000          1.65535024E+03          9.85873858E+01          1.39468739E+02          5.58115046E+01
       5100.0000          1.68776742E+03          1.00149332E+02          1.42129830E+02          5.67749281E+01
       5200.0000          1.72016454E+03          1.01707384E+02          1.44788683E+02          5.77364381E+01
       5300.0000          1.75254164E+03          1.03261625E+02          1.47445322E+02          5.86960736E+01
       5400.0000          1.78489878E+03          1.04812136E+02          1.50099766E+02          5.96538717E+01
       5500.0000          1.81723600E+03          1.06358996E+02          1.52752035E+02          6.06098681E+01
       5600.0000          1.84955335E+03          1.07902278E+02          1.55402149E+02          6.15640968E+01
       5700.0000          1.88185087E+03          1.09442052E+02          1.58050125E+02          6.25165906E+01
       5800.0000          1.91412861E+03          1.10978389E+02          1.60695982E+02          6.34673808E+01
       5900.0000          1.94638661E+03          1.12511353E+02          1.63339735E+02          6.44164974E+01
       6000.0000          1.97862492E+03          1.14041007E+02          1.65981402E+02          6.53639695E+01
       6100.0000          2.01084356E+03          1.15567413E+02          1.68620997E+02          6.63098248E+01
       6200.0000          2.04304259E+03          1.17090628E+02          1.71258536E+02          6.72540899E+01
       6300.0000          2.07522204E+03          1.18610710E+02          1.73894033E+02          6.81967907E+01
       6400.0000          2.10738194E+03          1.20127712E+02          1.76527502E+02          6.91379519E+01
       6500.0000          2.13952233E+03          1.21641686E+02          1.79158956E+02          7.00775974E+01
       6543.9990          2.15365762E+03          1.22306873E+02          1.80316135E+02          7.04905578E+01
       6544.0010          2.15365826E+03          1.22306903E+02          1.80316188E+02          7.04905766E+01
       6600.0000          2.17164326E+03          1.23152683E+02          1.81788409E+02          7.10157502E+01
       6700.0000          2.20374474E+03          1.24660752E+02          1.84415872E+02          7.19524325E+01
       6800.0000          2.23582682E+03          1.26165939E+02          1.87041359E+02          7.28876658E+01
       6900.0000          2.26788954E+03          1.27668291E+02          1.89664880E+02          7.38214707E+01
       7000.0000          2.29993291E+03          1.29167851E+02          1.92286447E+02          7.47538672E+01
       7100.0000          2.33195698E+03          1.30664661E+02          1.94906071E+02          7.56848747E+01
       7200.0000          2.36396177E+03          1.32158762E+02          1.97523762E+02          7.66145118E+01
       7300.0000          2.39594732E+03          1.33650195E+02          2.00139532E+02          7.75427968E+01
       7400.0000          2.42791365E+03          1.35138998E+02          2.02753389E+02          7.84697470E+01
