#Energy      B-K-shell   C-K-shell   Valence  Total
      31000.0000          8.91354090E+03          1.40029259E+04          3.55100447E+02          3.33365881E+02
      32000.0000          9.15982144E+03          1.43841817E+04          3.65195500E+02          3.42823532E+02
      33000.0000          9.40520044E+03          1.47649591E+04          3.75259907E+02          3.52252610E+02
      34000.0000          9.64971326E+03          1.51443343E+04          3.85314693E+02          3.61671165E+02
      35000.0000          9.89339806E+03          1.55223601E+04          3.95354917E+02          3.71074922E+02
      36000.0000          1.01362720E+04          1.58999978E+04          4.05328859E+02          3.80418898E+02
      37000.0000          1.03783699E+04          1.62754841E+04          4.15302430E+02          3.89760194E+02
      38000.0000          1.06197369E+04          1.66497518E+04          4.25279824E+02          3.99103096E+02
      39000.0000          1.08607567E+04          1.70237136E+04          4.35171250E+02          4.08369596E+02
      40000.0000          1.11006751E+04          1.73957006E+04          4.45068356E+02          4.17638380E+02
      41000.0000          1.13403107E+04          1.77674127E+04          4.54942531E+02          4.26886390E+02
      42000.0000          1.15788958E+04          1.81372453E+04          4.64754361E+02          4.36076912E+02
      43000.0000          1.18172171E+04          1.85068395E+04          4.74588611E+02          4.45286642E+02
