#Energy      V   O  Total
      16000.0000          2.66440939E+02          4.09129763E+02          1.61358268E+02
      17000.0000          2.80539434E+02          4.33051185E+02          1.70248783E+02
      18000.0000          2.94514662E+02          4.56826993E+02          1.79069331E+02
      19000.0000          3.08371347E+02          4.80459173E+02          1.87822148E+02
      20000.0000          3.22113674E+02          5.03949577E+02          1.96509226E+02
      21000.0000          3.35745379E+02          5.27299942E+02          2.05132355E+02
      22000.0000          3.49269825E+02          5.50511910E+02          2.13693156E+02
      23000.0000          3.62690054E+02          5.73587038E+02          2.22193104E+02
      24000.0000          3.76008837E+02          5.96526814E+02          2.30633554E+02
      25000.0000          3.89228712E+02          6.19332660E+02          2.39015751E+02
      26000.0000          4.02352015E+02          6.42005946E+02          2.47340850E+02
      27000.0000          4.15380905E+02          6.64547991E+02          2.55609927E+02
      28000.0000          4.28317386E+02          6.86960073E+02          2.63823984E+02
      29000.0000          4.41163326E+02          7.09243427E+02          2.71983964E+02
      30000.0000          4.53920474E+02          7.31399255E+02          2.80090754E+02
      31000.0000          4.66590470E+02          7.53428726E+02          2.88145190E+02
      32000.0000          4.79174860E+02          7.75332981E+02          2.96148067E+02
      33000.0000          4.91675103E+02          7.97113130E+02          3.04100139E+02
      34000.0000          5.04092580E+02          8.18770262E+02          3.12002122E+02
      35000.0000          5.16428604E+02          8.40305440E+02          3.19854703E+02
      36000.0000          5.28684422E+02          8.61719706E+02          3.27658539E+02
      37000.0000          5.40861225E+02          8.83014083E+02          3.35414257E+02
      38000.0000          5.52960150E+02          9.04189574E+02          3.43122463E+02
      39000.0000          5.64982288E+02          9.25247163E+02          3.50783739E+02
      40000.0000          5.76928683E+02          9.46187818E+02          3.58398646E+02
      41000.0000          5.88800339E+02          9.67012492E+02          3.65967726E+02
      42000.0000          6.00598223E+02          9.87722122E+02          3.73491502E+02
      43000.0000          6.12323266E+02          1.00831763E+03          3.80970482E+02
      44000.0000          6.23976367E+02          1.02879992E+03          3.88405159E+02
      45000.0000          6.35558396E+02          1.04916989E+03          3.95796010E+02
      46000.0000          6.47070192E+02          1.06942843E+03          4.03143499E+02
      47000.0000          6.58512572E+02          1.08957640E+03          4.10448077E+02
      48000.0000          6.69886324E+02          1.10961466E+03          4.17710185E+02
      49000.0000          6.81192216E+02          1.12954406E+03          4.24930252E+02
      50000.0000          6.92430993E+02          1.14936544E+03          4.32108695E+02
