#Energy      Mg   Co   Ni   Cu   Zn   O  Total
        430.0000          5.86600788E+01          5.71164565E+01          5.84312850E+01          5.98676057E+01          1.00000000E+20          1.95460373E+01          8.36579493E+00
        440.0000          5.96891946E+01          5.75434405E+01          5.88292607E+01          6.02357675E+01          1.00000000E+20          1.99373032E+01          8.48258174E+00
        450.0000          6.07172951E+01          5.79757073E+01          5.92334305E+01          6.06111162E+01          1.00000000E+20          2.03282847E+01          8.59905120E+00
        460.0000          6.17443820E+01          5.84128113E+01          5.96432878E+01          6.09930782E+01          1.00000000E+20          2.07189872E+01          8.71521260E+00
        470.0000          6.27704585E+01          5.88543479E+01          6.00583717E+01          6.13811318E+01          1.00000000E+20          2.11094163E+01          8.83107459E+00
        480.0000          6.37955293E+01          5.92999484E+01          6.04782623E+01          6.17748014E+01          1.00000000E+20          2.14995772E+01          8.94664524E+00
        490.0000          6.48196001E+01          5.97492768E+01          6.09025762E+01          6.21736524E+01          1.00000000E+20          2.18894751E+01          9.06193212E+00
        500.0000          6.58426778E+01          6.02020259E+01          6.13309631E+01          6.25772874E+01          1.00000000E+20          2.22791151E+01          9.17694232E+00
        510.0000          6.68647700E+01          6.06579150E+01          6.17631023E+01          6.29853424E+01          1.00000000E+20          2.26685021E+01          9.29168251E+00
        520.0000          6.78858850E+01          6.11166867E+01          6.21986995E+01          6.33974832E+01          1.00000000E+20          2.30576408E+01          9.40615898E+00
        530.0000          6.89060318E+01          6.15781051E+01          6.26374848E+01          6.38134028E+01          1.00000000E+20          2.34465359E+01          9.52037766E+00
        537.9990          6.97213565E+01          6.19489525E+01          6.29905967E+01          6.41486266E+01          1.00000000E+20          2.37574408E+01          9.61155939E+00
        538.0010          6.97215603E+01          6.19490454E+01          6.29906852E+01          6.41487107E+01          1.00000000E+20          2.37575185E+01          9.61158217E+00
        540.0000          6.99252197E+01          6.20419532E+01          6.30792099E+01          6.42328187E+01          1.00000000E+20          2.38351920E+01          9.63434417E+00
        550.0000          7.09434585E+01          6.25080316E+01          6.35236461E+01          6.46554708E+01          1.00000000E+20          2.42236134E+01          9.74806383E+00
        560.0000          7.19607583E+01          6.29761568E+01          6.39705829E+01          6.50811189E+01          1.00000000E+20          2.46118044E+01          9.86154171E+00
        570.0000          7.29771292E+01          6.34461594E+01          6.44198257E+01          6.55095415E+01          1.00000000E+20          2.49997692E+01          9.97478262E+00
        580.0000          7.39925818E+01          6.39178831E+01          6.48711950E+01          6.59405334E+01          1.00000000E+20          2.53875117E+01          1.00877912E+01
