#Energy      Li-K-shell   F-K-shell   Valence  Total
       2100.0000          3.01461556E+02          1.25673335E+04          3.39896721E+01          3.04715978E+01
       2200.0000          3.12552982E+02          1.21994542E+04          3.53185562E+01          3.16504207E+01
       2300.0000          3.23650313E+02          1.19154885E+04          3.66395022E+01          3.28228008E+01
       2400.0000          3.34677030E+02          1.16974422E+04          3.79540746E+01          3.39892392E+01
       2500.0000          3.45637188E+02          1.15319434E+04          3.92614268E+01          3.51491196E+01
       2600.0000          3.56534489E+02          1.14088837E+04          4.05618330E+01          3.63027179E+01
       2700.0000          3.67372314E+02          1.13205021E+04          4.18555781E+01          3.74503115E+01
       2800.0000          3.78224486E+02          1.12607561E+04          4.31447578E+01          3.85943576E+01
       2900.0000          3.88950848E+02          1.12248838E+04          4.44261551E+01          3.97308323E+01
       3000.0000          3.99694718E+02          1.12090890E+04          4.57033947E+01          4.08641367E+01
       3100.0000          4.10320094E+02          1.12103095E+04          4.69732422E+01          4.19902699E+01
       3200.0000          4.20965273E+02          1.12260550E+04          4.82397570E+01          4.31139281E+01
       3300.0000          4.31563860E+02          1.12542797E+04          4.95007142E+01          4.42326428E+01
       3400.0000          4.42117762E+02          1.12932916E+04          5.07569163E+01          4.53470781E+01
       3500.0000          4.52692903E+02          1.13416767E+04          5.20084762E+01          4.64580208E+01
       3600.0000          4.63161762E+02          1.13982497E+04          5.32557235E+01          4.75643936E+01
       3700.0000          4.73590939E+02          1.14620066E+04          5.44994772E+01          4.86675518E+01
       3800.0000          4.83981933E+02          1.15320947E+04          5.57380810E+01          4.97661916E+01
       3900.0000          4.94397298E+02          1.16077835E+04          5.69717319E+01          5.08611339E+01
       4000.0000          5.04714913E+02          1.16884447E+04          5.82031063E+01          5.19532212E+01
       4100.0000          5.15058308E+02          1.17735363E+04          5.94294498E+01          5.30415668E+01
       4200.0000          5.25307455E+02          1.18625866E+04          6.06532465E+01          5.41268785E+01
       4300.0000          5.35583383E+02          1.19551854E+04          6.18741923E+01          5.52101981E+01
       4400.0000          5.45826888E+02          1.20509724E+04          6.30896168E+01          5.62887722E+01
       4500.0000          5.56038872E+02          1.21496318E+04          6.43020194E+01          5.73646006E+01
       4600.0000          5.66162983E+02          1.22508846E+04          6.55130634E+01          5.84384070E+01
       4700.0000          5.76315422E+02          1.23544841E+04          6.67192905E+01          5.95086767E+01
       4800.0000          5.86439019E+02          1.24602111E+04          6.79219657E+01          6.05758084E+01
       4900.0000          5.96534578E+02          1.25678707E+04          6.91217345E+01          6.16403244E+01
       5000.0000          6.06602878E+02          1.26772886E+04          7.03193777E+01          6.27028539E+01
       5100.0000          6.16644657E+02          1.27883087E+04          7.15138879E+01          6.37626038E+01
       5200.0000          6.26660610E+02          1.29007910E+04          7.27053430E+01          6.48196436E+01
       5300.0000          6.36651394E+02          1.30146094E+04          7.38946529E+01          6.58747037E+01
       5400.0000          6.46671651E+02          1.31296502E+04          7.50806257E+01          6.69274221E+01
       5500.0000          6.56613294E+02          1.32458105E+04          7.62657798E+01          6.79786428E+01
       5600.0000          6.66531513E+02          1.33629972E+04          7.74457981E+01          6.90255264E+01
       5700.0000          6.76426934E+02          1.34811259E+04          7.86231730E+01          7.00700603E+01
       5800.0000          6.86300227E+02          1.36001196E+04          7.98001661E+01          7.11140479E+01
       5900.0000          6.96204136E+02          1.37199084E+04          8.09737604E+01          7.21556595E+01
       6000.0000          7.06033415E+02          1.38404282E+04          8.21451897E+01          7.31947448E+01
       6100.0000          7.15842013E+02          1.39616206E+04          8.33146572E+01          7.42320444E+01
       6200.0000          7.25682166E+02          1.40834321E+04          8.44803669E+01          7.52666945E+01
       6300.0000          7.35449616E+02          1.42058137E+04          8.56446786E+01          7.62994473E+01
       6400.0000          7.45249373E+02          1.43287203E+04          8.68082410E+01          7.73319472E+01
       6500.0000          7.54977704E+02          1.44521105E+04          8.79690353E+01          7.83614754E+01
       6600.0000          7.64738297E+02          1.45759461E+04          8.91275496E+01          7.93895361E+01
       6700.0000          7.74429180E+02          1.47001919E+04          9.02837404E+01          8.04149961E+01
       6800.0000          7.84152201E+02          1.48248155E+04          9.14378973E+01          8.14391830E+01
       6900.0000          7.93806962E+02          1.49497869E+04          9.25896526E+01          8.24607228E+01
       7000.0000          8.03494065E+02          1.50750785E+04          9.37394012E+01          8.34810139E+01
       7100.0000          8.13113788E+02          1.52006643E+04          9.48866814E+01          8.44986141E+01
       7200.0000          8.22766426E+02          1.53265207E+04          9.60326712E+01          8.55155404E+01
       7300.0000          8.32352187E+02          1.54526254E+04          9.71752738E+01          8.65290526E+01
       7400.0000          8.41971433E+02          1.55789582E+04          9.83217238E+01          8.75459710E+01
       7500.0000          8.51573814E+02          1.57054996E+04          9.94616445E+01          8.85575245E+01
       7600.0000          8.61111500E+02          1.58322320E+04          1.00598171E+02          8.95656815E+01
       7700.0000          8.70682498E+02          1.59591390E+04          1.01739033E+02          9.05776298E+01
       7800.0000          8.80237515E+02          1.60771363E+04          1.02873592E+02          9.15841091E+01
       7900.0000          8.89776208E+02          1.62079169E+04          1.04004819E+02          9.25881740E+01
       8000.0000          8.99254253E+02          1.63384971E+04          1.05140394E+02          9.35950120E+01
       8100.0000          9.08764572E+02          1.64495999E+04          1.06268021E+02          9.45952494E+01
       8200.0000          9.18259350E+02          1.65799378E+04          1.07399621E+02          9.55990898E+01
       8300.0000          9.27739485E+02          1.67100824E+04          1.08524806E+02          9.65976748E+01
       8400.0000          9.37160594E+02          1.68400365E+04          1.09653116E+02          9.75980807E+01
       8500.0000          9.46613924E+02          1.69698025E+04          1.10779201E+02          9.85970592E+01
       8600.0000          9.56053427E+02          1.70993833E+04          1.11898327E+02          9.95903612E+01
       8700.0000          9.65478406E+02          1.72287815E+04          1.13021975E+02          1.00587074E+02
       8800.0000          9.74890072E+02          1.73579997E+04          1.14143729E+02          1.01582129E+02
       8900.0000          9.84289223E+02          1.74870407E+04          1.15257498E+02          1.02570710E+02
